스트링자료이름,국문
stringResourceID,ko
string,string
Common_Treasure_Name_Text_001,<color=#FFFFFF>금단의 비급서</color>
Common_Treasure_Name_Text_002,<color=#FFFFFF>마녀의 손거울</color>
Common_Treasure_Name_Text_003,<color=#FFFFFF>잊혀진 과거의 영광</color>
Common_Treasure_Name_Text_004,<color=#FFFFFF>녹지 않는 얼음</color>
Common_Treasure_Name_Text_005,<color=#FFFFFF>매혹의 과실</color>
Common_Treasure_Name_Text_006,<color=#FFFFFF>영생의 불로초</color>
Common_Treasure_Name_Text_007,<color=#FFFFFF>신비한 수정</color>
Common_Treasure_Name_Text_008,<color=#FFFFFF>미확인 물질</color>
Common_Treasure_Name_Text_009,<color=#FFFFFF>거대 금괴</color>
Common_Treasure_Name_Text_010,<color=#FFFFFF>고대 문명의 유산</color>
Common_Treasure_Name_Text_011,<color=#FFFFFF>흡혈귀의 흔적</color>
Common_Treasure_Name_Text_012,<color=#FFFFFF>초대 왕국의 주화</color>
Common_Treasure_Name_Text_013,<color=#FFFFFF>네잎 클로버</color>
Common_Treasure_Name_Text_014,<color=#FFFFFF>이계의 흔적</color>
Common_Treasure_Name_Text_015,<color=#FFFFFF>지옥 입장권</color>
Common_Treasure_Name_Text_016,<color=#5BB5FF>마법의 잎새</color>
Common_Treasure_Name_Text_017,<color=#5BB5FF>용기의 증명</color>
Common_Treasure_Name_Text_018,<color=#5BB5FF>저주 받은 마검</color>
Common_Treasure_Name_Text_019,<color=#5BB5FF>요마의 눈</color>
Common_Treasure_Name_Text_020,<color=#5BB5FF>악귀의 뿔</color>
Common_Treasure_Name_Text_021,<color=#FB00FF>심연의 오브</color>
Common_Treasure_Desc_Text_001,<color=#FF7F00>불길한 기운이 감돌고 있는 책이다.\n 강력한 마력으로 봉인되어 있어서 책을 펼칠 수 없다.</color>
Common_Treasure_Desc_Text_002,<color=#FF7F00>평범해 보이는 손거울이다.\n 단지 아무것도 비치지 않을 뿐.</color>
Common_Treasure_Desc_Text_003,<color=#FF7F00>이제는 영원히 사라져버린 한 제국의 휘장이다.\n 수집가들에게 비싼 가격에 거래될 것 같다.</color>
Common_Treasure_Desc_Text_004,<color=#FF7F00>어째서인지 땅속에서 여태까지 녹지 않았다.\n 무슨 비밀이 있는 걸까?</color>
Common_Treasure_Desc_Text_005,<color=#FF7F00>먹음직스러운 사과의 형태를 하고 있다.\n 왠지 먹으면 안될 것 같다.</color>
Common_Treasure_Desc_Text_006,<color=#FF7F00>불로불사를 꿈꾸던 자들이 그토록 찾던 약초이다.\n 어떤 성분으로 이루어졌을까?</color>
Common_Treasure_Desc_Text_007,<color=#FF7F00>어디에서도 본 적 없는 마석이다.\n 마법사들에게 인기가 많을 것 같다.</color>
Common_Treasure_Desc_Text_008,<color=#FF7F00>성분을 알 수 없는 정체불명의 물질이다.\n 이 세상의 것이 아니라는 느낌이 든다.</color>
Common_Treasure_Desc_Text_009,<color=#FF7F00>팔뚝만 한 크기의 금괴이다.\n 이거라면 평생 먹고 살 걱정은 없을 것이다.</color>
Common_Treasure_Desc_Text_010,<color=#FF7F00>굉장히 큰 반석에 무언가를 형상화한 듯하다.\n 해석하려면 오랜 기간이 필요해 보인다.</color>
Common_Treasure_Desc_Text_011,<color=#FF7F00>화석이 된 흡혈귀의 피이다.\n 연금술의 재료로 활용된다고 한다.</color>
Common_Treasure_Desc_Text_012,<color=#FF7F00>굉장히 오래된 것 같은 어느 왕국의 주화이다.\n 아마 이 유적보다도 오래된 왕국일 것이다.</color>
Common_Treasure_Desc_Text_013,<color=#FF7F00>행운을 가져다준다는 네잎 클로버이다.\n 오늘 운이 좋은 것 같다.</color>
Common_Treasure_Desc_Text_014,<color=#FF7F00>오묘한 빛이 흘러나오는 돌이다.\n 이곳의 몬스터와도 관계가 있는 것 같다.</color>
Common_Treasure_Desc_Text_015,<color=#FF7F00>마치 지옥의 모습이 연상되는 물건이다.\n 물건의 주인이 있다면 아마도 악마가 아닐지..</color>
Common_Treasure_Desc_Text_016,"<color=#FF7F00>생명력이 느껴지는 잎이다.\n 어째서 시들지 않는지 모르겠지만,\n 소지하고 있으면 기운이 생기는 것 같다.</color>"
Common_Treasure_Desc_Text_017,<color=#FF7F00>과거 용맹한 전사가 생전에 사용한 듯한 거대한 방패이다.\n 아쉽게도 손잡이가 빠져있어 착용이 불가능하다.</color>
Common_Treasure_Desc_Text_018,<color=#FF7F00>강력한 저주가 걸린 검이다.\n 왠지 착용은 하면 안될 것 같다.</color>
Common_Treasure_Desc_Text_019,<color=#FF7F00>돌처럼 딱딱하게 굳어버린 괴물의 눈이다.\n 작게나마 마력이 느껴진다.</color>
